k,cluster_id,cluster_size,peak_hour,min_value,max_value
4,0,1988,6,0.04636571881319872,0.5714386524854489
4,1,2237,12,0.04757706784697938,0.6261597932225526
4,2,1984,16,0.04486881980707029,0.9228377899206165
4,3,3042,18,0.048472409913016115,0.7943328116060474
5,0,1233,6,0.04350392874588514,0.9434926223197856
5,1,1691,8,0.04781942999157294,0.5552897005813195
5,2,1632,16,0.038684685387084514,0.9417994846334993
5,3,2852,18,0.04929439534286562,0.7972763730019891
5,4,1843,18,0.052552217524662784,0.613495300152213
6,0,1163,6,0.04512507183912924,0.9195578682150518
6,1,1034,8,0.043093877784346965,0.9528285241650534
6,2,1205,10,0.04830417030777328,0.5908865237290423
6,3,1520,16,0.03853180040674024,0.9443813997173638
6,4,1565,18,0.05698133231688456,0.6910640241707489
6,5,2764,18,0.047788561553544086,0.7869887502123258
7,0,330,4,0.1284319244666074,0.8803288807866336
7,1,1041,6,0.026058648050474333,0.9723866363200858
7,2,1481,8,0.04236341091563831,0.5914648931846059
7,3,1409,16,0.03108533981512318,0.9706700912758391
7,4,1700,18,0.04823701536584958,0.6224800225837055
7,5,1942,18,0.03427260302967878,0.9814970578752584
7,6,1348,20,0.050561206831885405,0.8327234356281481
