homeid,All-daytime plateau,Early-morning peak,Evening peak,Late-afternoon peak,Morning peak,clustered_days,modal_days,modal_day_share,n_observed_archetypes,household_modal_archetype,household_modal_archetype_name,residents,major_app_total,other_app_total,income_band,hometype
73,60,17,87,37,144,345,144,0.41739130434782606,5,0,Morning peak,3,13,7.0,Missing,flat
145,7,75,34,28,135,279,135,0.4838709677419355,5,0,Morning peak,2,16,13.0,"£43,200 to £48,599",flat
162,34,44,51,32,112,273,112,0.41025641025641024,5,0,Morning peak,2,17,20.0,"£54,000 to £65,999",flat
171,8,15,12,20,39,94,39,0.4148936170212766,5,0,Morning peak,0,19,11.0,"£13,500 to £16,199",flat
208,26,10,24,26,145,231,145,0.6277056277056277,5,0,Morning peak,2,16,19.0,"£43,200 to £48,599",flat
249,16,42,36,28,60,182,60,0.32967032967032966,5,0,Morning peak,2,15,13.0,Missing,flat
266,11,32,29,15,46,133,46,0.3458646616541353,5,0,Morning peak,2,22,21.0,"£66,000 to £77,999",house_or_bungalow
311,9,22,14,7,38,90,38,0.4222222222222222,5,0,Morning peak,2,19,12.0,"£16,200 to £19,799",flat
136,122,18,115,17,25,297,122,0.4107744107744108,5,1,All-daytime plateau,1,18,21.0,"£43,200 to £48,599",flat
139,75,10,47,12,59,203,75,0.3694581280788177,5,1,All-daytime plateau,3,18,11.0,"£37,800 to £43,199",flat
140,95,14,6,26,4,145,95,0.6551724137931034,5,1,All-daytime plateau,3,20,17.0,"£54,000 to £65,999",flat
146,115,9,91,33,67,315,115,0.36507936507936506,5,1,All-daytime plateau,4,27,20.0,"£43,200 to £48,599",house_or_bungalow
168,111,27,25,80,6,249,111,0.4457831325301205,5,1,All-daytime plateau,4,22,19.0,"£66,000 to £77,999",house_or_bungalow
175,71,36,54,65,48,274,71,0.2591240875912409,5,1,All-daytime plateau,2,23,19.0,"£43,200 to £48,599",house_or_bungalow
227,47,20,43,25,30,165,47,0.28484848484848485,5,1,All-daytime plateau,2,21,8.0,"£19,800 to £23,399",flat
231,54,44,27,29,18,172,54,0.313953488372093,5,1,All-daytime plateau,2,19,21.0,"£32,400 to £37,799",house_or_bungalow
255,72,2,71,24,11,180,72,0.4,5,1,All-daytime plateau,3,27,18.0,"£19,800 to £23,399",flat
263,64,8,31,35,31,169,64,0.378698224852071,5,1,All-daytime plateau,4,18,15.0,"£32,400 to £37,799",house_or_bungalow
276,58,9,27,19,14,127,58,0.4566929133858268,5,1,All-daytime plateau,3,20,17.0,"£48,600 to £53,999",flat
62,100,52,198,81,93,524,198,0.37786259541984735,5,2,Evening peak,2,21,14.0,"£43,200 to £48,599",flat
65,53,75,346,56,24,554,346,0.6245487364620939,5,2,Evening peak,2,17,19.0,"£54,000 to £65,999",house_or_bungalow
90,23,19,210,70,27,349,210,0.6017191977077364,5,2,Evening peak,1,16,8.0,"less than £10,800",house_or_bungalow
96,35,23,167,75,8,308,167,0.5422077922077922,5,2,Evening peak,5,23,22.0,"£48,600 to £53,999",house_or_bungalow
105,56,21,139,58,25,299,139,0.46488294314381273,5,2,Evening peak,1,18,12.0,"£43,200 to £48,599",flat
106,18,63,99,70,63,313,99,0.31629392971246006,5,2,Evening peak,1,17,11.0,"£32,400 to £37,799",flat
128,48,24,126,81,42,321,126,0.3925233644859813,5,2,Evening peak,1,12,11.0,"£23,400 to £26,999",flat
169,52,3,77,64,25,221,77,0.34841628959276016,5,2,Evening peak,1,22,20.0,"£48,600 to £53,999",house_or_bungalow
212,28,3,86,41,25,183,86,0.46994535519125685,5,2,Evening peak,3,24,21.0,"£23,400 to £26,999",flat
225,27,24,71,34,32,188,71,0.3776595744680851,5,2,Evening peak,2,22,13.0,Missing,flat
242,65,2,71,44,13,195,71,0.3641025641025641,5,2,Evening peak,3,23,16.0,"£78,000 to £89,999",house_or_bungalow
259,15,16,74,9,57,171,74,0.4327485380116959,5,2,Evening peak,2,22,16.0,"£23,400 to £26,999",house_or_bungalow
262,21,15,99,23,9,167,99,0.592814371257485,5,2,Evening peak,2,21,14.0,"£37,800 to £43,199",flat
268,26,6,77,3,26,138,77,0.5579710144927537,5,2,Evening peak,1,24,18.0,"£27,000 to £32,399",house_or_bungalow
328,7,4,36,15,9,71,36,0.5070422535211268,5,2,Evening peak,1,20,13.0,"£10,800 to £13,499",flat
61,40,66,82,120,40,348,120,0.3448275862068966,5,3,Late-afternoon peak,2,17,14.0,"£48,600 to £53,999",house_or_bungalow
238,52,5,14,102,12,185,102,0.5513513513513514,5,3,Late-afternoon peak,2,21,18.0,"£37,800 to £43,199",flat
264,38,5,14,99,14,170,99,0.5823529411764706,5,3,Late-afternoon peak,4,22,20.0,"£48,600 to £53,999",house_or_bungalow
63,52,284,31,19,67,453,284,0.6269315673289183,5,4,Early-morning peak,2,18,14.0,"£54,000 to £65,999",house_or_bungalow
228,22,73,22,16,37,170,73,0.4294117647058823,5,4,Early-morning peak,0,19,9.0,"£66,000 to £77,999",flat
