context,context_cluster,norm_block_00,norm_block_02,norm_block_04,norm_block_06,norm_block_08,norm_block_10,norm_block_12,norm_block_14,norm_block_16,norm_block_18,norm_block_20,norm_block_22
Winter_Weekday,0,0.09815988736580156,0.046573943200803186,0.06747799423377532,0.6707437225220864,0.5173616727981009,0.10518652278516268,0.08255731772768961,0.09700723730023818,0.1360285766844129,0.2486017730895141,0.3508969843927762,0.3146470397678272
Winter_Weekday,1,0.10893564176870991,0.05419598962785791,0.03441717419077161,0.1300859313431008,0.287207858082411,0.6027304745141125,0.5400522584461366,0.3424883187012123,0.25438418178847966,0.2989061518185354,0.28239031833158384,0.22469085298490454
Winter_Weekday,2,0.09535857681894447,0.0438949602331167,0.04639237546463945,0.24998925073570355,0.17804699509570904,0.14875541642709492,0.21737421517015004,0.3392096261275343,0.8754151981289092,0.6211503222809744,0.45001515237836354,0.2795339712954825
Winter_Weekday,3,0.10903138845807518,0.04655356531725762,0.05314876953092688,0.29404591539275876,0.13942991006523078,0.08263167210179596,0.08671892099877215,0.09296455307379647,0.2167992234248459,0.8105274918397191,0.6703616113656696,0.3810436128487193
Winter_Weekday,4,0.14687260909016264,0.05962098367943462,0.059020459537647334,0.31708438016828683,0.6505375230805862,0.5292980575123533,0.5137120845264426,0.45091611808170207,0.6402592256207926,0.7048264334421829,0.6659963191579327,0.3874376909364434
Winter_Weekend,0,0.12588442448739856,0.055418036131430135,0.04938856217448855,0.12011605197225253,0.39172336511645256,0.733574986004713,0.5725744956368017,0.49312614205107774,0.6418703195790632,0.7190610196832787,0.5203285829773164,0.33265348219723156
Winter_Weekend,1,0.21839300103964224,0.058858244995110616,0.05294754621928093,0.16597189855604003,0.4430823922519924,0.552177205694481,0.15830543155382804,0.1249575967326202,0.1789516113198215,0.2060851395490368,0.22200789567995513,0.31030463495422567
Winter_Weekend,2,0.13924472975095334,0.06415100159875463,0.04772370491534342,0.07582565263748292,0.17128100788370648,0.2975024626473672,0.9544018606309387,0.3542117957864718,0.25388353496668264,0.2633002946832733,0.29879766066192126,0.19152815442741325
Winter_Weekend,3,0.10495557429975573,0.046153228252640524,0.0319716457932215,0.09296634148716894,0.2586667653364977,0.19747492208691697,0.2648115349266453,0.5748892382906116,0.8103319388651758,0.4340527300267748,0.3722546904704667,0.23030593660513524
Winter_Weekend,4,0.10783180388349264,0.04018898675554084,0.03513192679196843,0.12062282483477109,0.20150840593348257,0.16121416972718705,0.17809096395453852,0.20816654651481317,0.384254230131,0.8433731261407122,0.6070520082751524,0.36794678608798087
Summer_Weekday,0,0.04159798911194974,0.02844361879083247,0.15894736435792942,0.955710938377959,0.1114395510921115,0.07561371364361302,0.05845126475347817,0.09195225656708172,0.1935642029474156,0.2994418042118009,0.3277554255440925,0.15501286121720204
Summer_Weekday,1,0.04815044258390858,0.02850833282330562,0.06281065754380938,0.2086036586395208,0.591741412788616,0.4047562257919068,0.27984099723014744,0.19747541748526387,0.13395538192906548,0.14770167432778059,0.19052696636165722,0.18792631091269293
Summer_Weekday,2,0.07882298749323541,0.07471624457192177,0.30927668782119583,0.21407597380491136,0.10446383122890814,0.07259764090357079,0.0884643805781467,0.16510584862867805,0.8197044619510291,0.3738317606009049,0.28941437265300546,0.1399590888468292
Summer_Weekday,3,0.0769105242253693,0.048866109333302495,0.1152949615555685,0.45335235077209657,0.40825309332489196,0.4141819401993616,0.4478300549745448,0.5461975298567018,0.6691116560572173,0.6506154944881669,0.6522040906569212,0.23197987168906714
Summer_Weekday,4,0.05421732277444549,0.05025555918847248,0.16494166418443876,0.21805114859934632,0.08358512051588109,0.06255314603675709,0.06230984729608904,0.07682675793009384,0.25506552228086293,0.7775188201879385,0.662412108390092,0.2304119100329329
Summer_Weekend,0,0.11460334426978253,0.0840018918081582,0.13043582052084318,0.48283722017678965,0.7270959746140861,0.22460191748367467,0.17315517321141258,0.12813498173538013,0.2029587429343141,0.22912595757476495,0.2491332796206874,0.230537897236661
Summer_Weekend,1,0.06115642395005426,0.06775921202692721,0.06318045603723926,0.11202877582378026,0.2535472498025789,0.7528847041101424,0.4733248331958502,0.10190209312541855,0.128506500160271,0.1954609150964256,0.2084686000721345,0.1527316855941398
Summer_Weekend,2,0.06708101005253361,0.04360186530485268,0.07037316991331292,0.20065592085422396,0.2897164180355706,0.3852117471187185,0.620425593114517,0.800354624334684,0.495446316238851,0.33126887265554894,0.3108575290347795,0.18860012100354415
Summer_Weekend,3,0.036533522172417586,0.018529278072507857,0.03423130137112274,0.28130992474278144,0.27735844123963294,0.22901935711822868,0.18748958090239945,0.2647691667573151,0.9805442504602716,0.42966486913626717,0.3253847493522018,0.13092293353637957
Summer_Weekend,4,0.07242970991380489,0.04550056759553008,0.06548863705348162,0.24501855945411205,0.2147030264275898,0.20420599278807255,0.1955403502461889,0.19417985998722434,0.3037596572491749,0.831040731397315,0.6215920655068468,0.21955035077182836
